Item,Name,Qty,Manufacturer,Mfg Part #,Descriptor/Value,Package/Footprint,Instructions
1,Y1,1,Murata Electronics,CSTNE16M0V530000R0,CERAMIC RES 16.0000MHZ 15PF SMD,SMD,
2,C14,1,KEMET,C1206C103K5RAC7210,CAP CER 10000PF 50V X7R 1206,SMD 1206,
3,"C12,C13",2,KEMET,C1206C100K3HAC7800,CAP CER 1206 10PF 25V ULTRA STAB,SMD 1206,
4,Y2,1,TXC CORPORATION,7V-12.000MAHE-T,CRYSTAL 12.0000MHZ 12PF SMD,4-SMD,
5,LED1,RX,2,Everlight Electronics Co Ltd,PT11-21C/L41/TR8,LED RED CLEAR 1206 SMD,SMD 1206,Anode next to edge;cathode next to minus sign
6,TX,1,EVERLIGHT ELEC,15-21SYGC/S530-E2/TR8,Light Emitting Diodes (LED) Green-yellow 573nm 21mcd@20mA Top View 1206 RoHS,SMD 1206,Anode next to edge;cathode next to minus sign
7,R20,1,Yageo,‎RC1206FR-07330RL‎,RES SMD 330 OHM 1% 1/4W 1206,SMD 1206,
8,"R19,R16",2,Stackpole Electronics Inc,‎RMCF1206FT1K00‎,RES 1K OHM 1% 1/4W 1206,SMD 1206,
9,"C4,C3,C16,C15",4,KEMET,‎C1206C104K5RAC7800‎,CAP CER 0.1UF 50V X7R 1206,SMD 1206,
10,"R9,R15",2,Stackpole Electronics Inc,‎RMCF1206FT10K0‎,RES 10K OHM 1% 1/4W 1206,SMD 1206,
11,"R1,R2,R3,R4,R5,R6,R7,R14",8,Stackpole Electronics Inc,‎RMCF1206JT220R‎,RES 220 OHM 5% 1/4W 1206,SMD 1206,
12,R12,1,Yageo,RC1206FR-07120RL,RES SMD 120 OHM 1% 1/4W 1206,SMD 1206,
13,TM1,1,Bourns Inc.,‎TC33X-2-103E‎,TRIMMER 10K OHM 0.1W J LEAD TOP,3 SMD,
14,IC1,1,Texas Instruments,LM358DR,IC OPAMP GP 2 CIRCUIT 8SOIC,SMD 8-SOIC,
15,R17,1,Yageo,RE1206FRE07470RL,RES SMD 470 OHM 1% 1/4W 1206,SMD 1206,
16,U2,1,Microchip Technology,ATMEGA8U2-AUR,IC MCU 8BIT 32KB FLASH 32TQFP,32TQFP,
17,LED2,1,American Opto Plus LED,L152L-QOC-TR,1206 ORANGE SMD LED,SMD 1206,Cathode goes up (towards – sign); Anode goes down (toward + sign)
18,T1,1,Diodes Incorporated,‎MMBT3904-7-F‎,TRANS NPN 40V 0.2A SMD SOT23-3,SMD 1206,
19,U1,1,Jiangsu Qin Heng,CH340G,A simple USB 2.0 to Serial IC,SO016,
20,U$4,1,Amphenol ICC (FCI),10118194-0001LF,CONN RCPT USB2.0 MICRO B SMD R/A,Micro USB B,
