Designator,MidX,MidY,Layer,Rotation
R14,61.47,21.59,Bottom,90.0
R15,61.47,14.99,Bottom,90.0
TM1,65.62,27.43,Bottom,90.0
C12,11.18,10.41,Top,90.0
C13,18.29,10.41,Top,90.0
C14,21.59,27.94,Top,0.0
C15,21.59,25.4,Top,0.0
C16,23.88,17.02,Top,90.0
C3,27.43,10.41,Top,90.0
C4,27.43,17.02,Top,90.0
IC1,64.77,28.45,Top,90.0
LED1,21.34,17.02,Top,90.0
LED2,61.47,21.59,Top,90.0
R1,44.96,31.5,Top,90.0
R12,65.02,36.58,Top,180.0
R16,18.29,17.02,Top,270.0
R17,61.47,14.99,Top,90.0
R19,21.59,34.29,Top,0.0
R2,29.72,31.5,Top,270.0
R20,21.59,36.83,Top,0.0
R3,37.34,31.5,Top,270.0
R4,48.77,31.5,Top,270.0
R5,52.58,31.5,Top,270.0
R6,41.15,31.5,Top,90.0
R7,33.53,31.5,Top,270.0
R9,56.9,14.99,Top,90.0
RX,3.3,18.8,Top,0.0
T1,65.05,39.37,Top,0.0
TX,3.3,21.08,Top,0.0
U$4,4.07,12.7,Top,270.0
U1,11.68,18.29,Top,0.0
U2,35.56,12.95,Top,180.0
Y1,43.18,15.49,Top,90.0
Y2,14.73,12.19,Top,0.0
